Product Name,Price,Rating,Review Count,Url
"Apple iPhone XR, 256GB, Black - Fully Unlocked (Renewed)",Not Available,4.5 out of 5 stars,"22,231",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07P6Y7JW1/ref=sr_1_1?dchild=1&keywords=iphone&qid=1612448689&sr=8-1
"New Apple iPhone 12 Pro Max (512GB, Pacific Blue) [Locked] + Carrier Subscription",Not Available,4.1 out of 5 stars,66,https://www.amazon.com/Apple-iPhone-Pacific-Carrier-Subscription/dp/B08L5M9LJ4/ref=sr_1_2?dchild=1&keywords=iphone&qid=1612448689&sr=8-2
"New Apple iPhone 12 mini (256GB, Blue) [Locked] + Carrier Subscription",Not Available,3.9 out of 5 stars,23,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5NWSRG/ref=sr_1_3?dchild=1&keywords=iphone&qid=1612448689&sr=8-3
"Apple iPhone 11 Pro Max [256GB, Silver] + Carrier Subscription [Cricket Wireless]",Not Available,3.4 out of 5 stars,45,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GT5HWY/ref=sr_1_4?dchild=1&keywords=iphone&qid=1612448689&sr=8-4
"Apple iPhone XR [64GB, (PRODUCT)RED] + Carrier Subscription [Cricket Wireless]",Not Available,4.1 out of 5 stars,48,https://www.amazon.com/Apple-iPhone-XR-64GB-PRODUCT/dp/B07VSWLY55/ref=sr_1_5?dchild=1&keywords=iphone&qid=1612448689&sr=8-5
"New Apple iPhone 12 Pro (512GB, Pacific Blue) [Locked] + Carrier Subscription",Not Available,4.1 out of 5 stars,68,https://www.amazon.com/Apple-iPhone-Pacific-Carrier-Subscription/dp/B08L5Q2TJ7/ref=sr_1_6?dchild=1&keywords=iphone&qid=1612448689&sr=8-6
"Apple iPhone 11 Pro [64GB, Silver] + Carrier Subscription [Cricket Wireless]",Not Available,4.2 out of 5 stars,26,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GSZ5YX/ref=sr_1_7?dchild=1&keywords=iphone&qid=1612448689&sr=8-7
"Apple iPhone 11 [128GB, Purple] + Carrier Subscription [Cricket Wireless]",Not Available,4.6 out of 5 stars,108,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084GSMNRN/ref=sr_1_8?dchild=1&keywords=iphone&qid=1612448689&sr=8-8
"New Apple iPhone 12 (256GB, Green) [Locked] + Carrier Subscription",Not Available,3.8 out of 5 stars,49,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5QTSFB/ref=sr_1_9?dchild=1&keywords=iphone&qid=1612448689&sr=8-9
"Mini Smartphone iLight 7+ The World's Smallest 7S Android Mobile Phone, Super Small Tiny Micro 2.4"" Touch Screen Global Unlocked Great for Kids 1GB RAM / 8GB ROM Tiny iPhone 7Plus Look Alike",$89.90,4.1 out of 5 stars,20,https://www.amazon.com/Smartphone-iLight-Smallest-Android-Unlocked/dp/B08BX1VK38/ref=sr_1_10?dchild=1&keywords=iphone&qid=1612448689&sr=8-10
